"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","CZE.TMG_RPCH.A","OBS_VALUE","Czech Republic","Imports of goods, Volume, Percent change","Annual","Units","29.89","13.051","11.258","13.751","2.712","-11.711","14.867","6.607","1.98","0.546","9.975","6.884","2.793","5.97","5.177","0.436","-6.504","14.459"
"IMF.RES:WEO(4.0.0)","DNK.TMG_RPCH.A","OBS_VALUE","Denmark","Imports of goods, Volume, Percent change","Annual","Units","8.131","10.616","13.047","4.155","0.621","-16.152","4.562","6.561","0.515","3.261","3.835","5.391","0.708","6.107","3.472","1.435","0.424","12.627"
"IMF.RES:WEO(4.0.0)","DMA.TMG_RPCH.A","OBS_VALUE","Dominica","Imports of goods, Volume, Percent change","Annual","Units","6.605","6.173","-4.672","13.427","18.53","-2.773","-6.11","-22.406","9.718","-4.047","14.125","5.92","-1.95","-12.212","56.368","-1.328","-25.465","-4.834"
"IMF.RES:WEO(4.0.0)","EGY.TMG_RPCH.A","OBS_VALUE","Egypt, Arab Republic of","Imports of goods, Volume, Percent change","Annual","Units","13.888","19.4","13.403","17.651","21.096","-1.713","-5.935","-1.807","2.656","-0.28","5.327","18.135","8.125","0.98","-0.669","2.369","-1.68","-1.516"
"IMF.RES:WEO(4.0.0)","ERI.TMG_RPCH.A","OBS_VALUE","Eritrea, The State of","Imports of goods, Volume, Percent change","Annual","Units","0.428","-21.634","-38.219","-21.088","-19.265","53.197","-6.838","-21.359","4.914","17.767","8.989","6.698","-4.262","-10.758","14.754","5.365","",""
"IMF.RES:WEO(4.0.0)","ESP.TMG_RPCH.A","OBS_VALUE","Spain","Imports of goods, Volume, Percent change","Annual","Units","10.564","6.76","7.872","9.284","-6.026","-19.257","8.193","-0.499","-5.733","0.613","6.596","5.081","1.713","6.921","2.682","-0.166","-11.306","14.63"
"IMF.RES:WEO(4.0.0)","FIN.TMG_RPCH.A","OBS_VALUE","Finland","Imports of goods, Volume, Percent change","Annual","Units","8.366","8.718","7.997","7.37","3.779","-20.669","9.594","8.261","-1.99","1.135","-0.272","-0.302","6.215","4.921","3.979","-0.047","-3.431","7.18"
"IMF.RES:WEO(4.0.0)","ETH.TMG_RPCH.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Imports of goods, Volume, Percent change","Annual","Units","11.707","44.354","18.549","3.365","16.57","32.278","23.173","-6.291","25.936","4.414","17.905","32.461","12.95","-4.626","-8.203","-3.212","-3.463","-0.693"
"IMF.RES:WEO(4.0.0)","G110.TMG_RPCH.A","OBS_VALUE","Advanced Economies","Imports of goods, Volume, Percent change","Annual","Units","9.619","7.09","8.326","4.994","0.041","-13.011","13.122","5.88","1.129","2.286","3.329","3.606","2.048","4.642","3.871","0.561","-5.955","11.235"
"IMF.RES:WEO(4.0.0)","G001.TMG_RPCH.A","OBS_VALUE","World","Imports of goods, Volume, Percent change","Annual","Units","11.179","8.328","9.403","7.966","2.964","-12.216","13.852","7.677","2.629","3.254","3.088","2.128","2.011","5.662","4.3","0.328","-5.803","11.505"
