"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","LCA.LP.A","OBS_VALUE","St. Lucia","Population, Number","Annual","Millions","0.164","0.165","0.166","0.168","0.169","0.17","0.171","0.172","0.173","0.174","0.175","0.176","0.176","0.177","0.178","0.179","0.179","0.18"
"IMF.RES:WEO(4.0.0)","LKA.LP.A","OBS_VALUE","Sri Lanka","Population, Number","Annual","Millions","19.387","19.545","19.696","19.842","19.984","20.124","20.262","20.398","20.425","20.585","20.778","20.97","21.203","21.444","21.67","21.803","21.919","22.156"
"IMF.RES:WEO(4.0.0)","LVA.LP.A","OBS_VALUE","Latvia, Republic of","Population, Number","Annual","Millions","2.277","2.25","2.228","2.209","2.192","2.163","2.121","2.075","2.045","2.024","2.001","1.986","1.969","1.95","1.934","1.92","1.908","1.893"
"IMF.RES:WEO(4.0.0)","LTU.LP.A","OBS_VALUE","Lithuania, Republic of","Population, Number","Annual","Millions","3.377","3.323","3.27","3.231","3.198","3.163","3.097","3.028","2.988","2.958","2.932","2.905","2.868","2.828","2.802","2.794","2.795","2.801"
"IMF.RES:WEO(4.0.0)","MDG.LP.A","OBS_VALUE","Madagascar, Republic of","Population, Number","Annual","Millions","16.96","17.47","17.996","18.538","19.096","19.67","20.262","20.872","21.501","22.148","22.814","23.501","24.209","24.937","25.674","26.525","27.34","28.178"
"IMF.RES:WEO(4.0.0)","MDV.LP.A","OBS_VALUE","Maldives","Population, Number","Annual","Millions","0.289","0.294","0.299","0.305","0.31","0.315","0.32","0.325","0.331","0.336","0.342","0.348","0.354","0.36","0.366","0.372","0.378","0.384"
"IMF.RES:WEO(4.0.0)","MEX.LP.A","OBS_VALUE","Mexico","Population, Number","Annual","Millions","104.971","106.371","107.886","109.539","111.276","113.03","114.756","116.446","118.061","119.598","121.049","122.368","123.587","124.777","125.996","127.216","128.209","128.983"
"IMF.RES:WEO(4.0.0)","MHL.LP.A","OBS_VALUE","Marshall Islands, Republic of the","Population, Number","Annual","Millions","0.05","0.051","0.051","0.052","0.052","0.052","0.053","0.053","0.053","0.052","0.051","0.05","0.049","0.047","0.045","0.044","0.044","0.042"
"IMF.RES:WEO(4.0.0)","MLT.LP.A","OBS_VALUE","Malta","Population, Number","Annual","Millions","0.4","0.403","0.405","0.406","0.408","0.411","0.414","0.415","0.418","0.423","0.429","0.44","0.45","0.46","0.476","0.494","0.515","0.516"
"IMF.RES:WEO(4.0.0)","MKD.LP.A","OBS_VALUE","North Macedonia, Republic of","Population, Number","Annual","Millions","2.023","2.005","1.994","1.983","1.971","1.959","1.946","1.937","1.93","1.923","1.918","1.912","1.906","1.899","1.889","1.876","1.856","1.837"
