"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","DJI.PPPPC.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2591.617","2715.052","2892.076","3077.221","3274.264","3301.367","3428.825","3695.505","3880.829","4073.123","4365.973","4649.454","4946.164","5225.282","5681.89","6036.474","6263.205","6654.407"
"IMF.RES:WEO(4.0.0)","DNK.PPPPC.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","40107.185","42232.126","45063.654","46572.896","47024.099","44668.0","45733.843","47069.987","47773.198","49068.753","50340.277","51577.438","53221.935","55427.449","57356.837","60682.02","62775.249","70543.351"
"IMF.RES:WEO(4.0.0)","DMA.PPPPC.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","7848.108","8153.102","8802.316","9622.04","10513.206","10461.718","10675.226","10990.132","11154.961","11202.516","11807.407","11469.672","11890.468","11588.946","13051.491","14290.879","12505.036","14212.229"
"IMF.RES:WEO(4.0.0)","DZA.PPPPC.A","OBS_VALUE","Algeria","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","9234.105","9884.874","10326.201","10774.713","11013.174","10994.019","11433.29","11776.513","12032.628","12292.29","12745.527","12988.608","13330.04","13483.308","13703.603","13851.117","12731.754","14559.497"
"IMF.RES:WEO(4.0.0)","ECU.PPPPC.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","6890.957","7359.816","7774.403","7990.192","8526.276","8519.79","8809.694","9575.898","10131.213","10852.01","11308.432","11234.025","11083.519","11770.105","12166.664","12530.832","11539.698","13592.025"
"IMF.RES:WEO(4.0.0)","ERI.PPPPC.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","1301.405","1324.66","1310.104","1328.822","1067.665","1183.07","1306.466","1653.294","1696.833","1530.668","2020.603","1603.317","1720.68","1559.463","1765.072","1821.279","",""
"IMF.RES:WEO(4.0.0)","ESP.PPPPC.A","OBS_VALUE","Spain","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","29697.057","31132.51","32865.672","34272.234","34628.108","33251.004","33545.805","33892.891","33512.922","33721.515","34934.38","36726.485","38123.462","39858.065","41061.87","44055.069","39330.971","44169.787"
"IMF.RES:WEO(4.0.0)","ETH.PPPPC.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","713.537","807.639","904.764","1004.557","1101.204","1187.91","1296.098","1439.382","1555.198","1695.206","1854.273","2017.419","2148.87","2353.893","2471.908","2659.167","2870.372","3102.763"
"IMF.RES:WEO(4.0.0)","FIN.PPPPC.A","OBS_VALUE","Finland","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","34627.15","36586.713","39089.36","42110.285","43065.966","39638.998","41197.438","42861.116","42787.214","42887.378","43229.816","43670.461","45091.092","47277.069","49270.069","52311.043","53337.577","57425.707"
"IMF.RES:WEO(4.0.0)","FJI.PPPPC.A","OBS_VALUE","Fiji, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","8536.187","8634.643","9036.798","9114.751","9375.691","9241.097","9581.037","9990.744","10269.046","10896.346","11655.317","12240.627","12604.71","13310.275","13626.824","13505.507","11410.522","10807.749"
"IMF.RES:WEO(4.0.0)","EST.PPPPC.A","OBS_VALUE","Estonia, Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","18900.842","21472.63","24439.44","27125.447","26301.385","22635.502","23525.454","25915.894","27465.933","28525.396","30047.031","30881.846","32130.211","34506.668","37121.032","40586.344","40666.157","45054.589"
"IMF.RES:WEO(4.0.0)","FSM.PPPPC.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","2397.442","2536.803","2623.314","2661.695","2656.677","2716.605","2821.238","2965.431","2962.632","2903.637","2887.162","3061.595","3147.702","3300.88","3433.184","3668.476","3692.697","4027.33"
"IMF.RES:WEO(4.0.0)","G119.PPPPC.A","OBS_VALUE","G7","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","36559.696","38437.73","40422.588","42130.944","42672.565","41117.259","42602.287","43964.319","45171.018","46427.515","47927.054","49166.783","50160.183","52051.217","54107.157","56493.088","55363.026","60733.158"
"IMF.RES:WEO(4.0.0)","G110.PPPPC.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","34646.429","36506.458","38541.561","40395.749","41017.761","39634.38","41135.103","42479.04","43554.404","44754.763","46269.49","47558.775","48633.947","50567.752","52638.22","55079.351","54121.158","59750.501"
"IMF.RES:WEO(4.0.0)","G205.PPPPC.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Annual","Units","10392.353","11045.008","11872.046","12704.756","13280.594","12881.366","13657.067","14415.999","14946.142","15457.153","15753.447","15773.39","15613.57","15944.706","16514.673","16761.279","15992.333","17951.788"
