"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDEX_TYPE.Name","COICOP_1999.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.STA:CPI(1.0.0)","BTN.CPI._T.IX.A","OBS_VALUE","Bhutan","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","","","","77.4322399574179","83.8367077111106","87.6497218614418","90.4719437682483","94.9549042797058","97.54144155732708","100.2008410470745","105.8415123494638","113.617491825579"
"IMF.STA:CPI(1.0.0)","BWA.CPI._T.IX.A","OBS_VALUE","Botswana","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","67.705617628802","73.43342644320298","78.96803227808812","83.61499068901306","87.29593420235878","89.96896337678459","92.50155183116075","95.56176288019861","98.6560676598386","101.3916666666666","103.3083333333334","110.7888666666667"
"IMF.STA:CPI(1.0.0)","CAF.CPI._T.IX.A","OBS_VALUE","Central African Republic","Consumer price index (CPI)","All Items","Index","Annual","Units","","","56.38351889718618","56.9247542295502","62.1953893272164","64.38545210675952","65.34545445733124","66.12599004788729","69.74856747825424","74.62315077251088","85.74101833108965","86.94393924290215","91.2436932979812","95.0583396605446","96.5908292138097","99.18465379581993","100.8808666941667","105.17775019"
"IMF.STA:CPI(1.0.0)","CAN.CPI._T.IX.A","OBS_VALUE","Canada","Consumer price index (CPI)","All Items","Index","Annual","Units","104.6583333333333","106.975","109.1166666666667","111.45","114.0916666666667","114.4333333333334","116.4666666666667","119.8583333333333","121.675","122.8166666666667","125.1583333333333","126.5666666666666","128.375","130.425","133.3833333333334","135.9833333333334","136.9583333333333","141.6083333333333"
"IMF.STA:CPI(1.0.0)","CHE.CPI._T.IX.A","OBS_VALUE","Switzerland","Consumer price index (CPI)","All Items","Index","Annual","Units","96.13145833333331","97.258075","98.28853333333332","99.00835","101.4103333333333","100.923075","101.6176666666667","101.8527583333334","101.147375","100.9275583333333","100.9142333333334","99.75986666666668","99.32629166666668","99.85648333333334","100.791475","101.1572333333333","100.4229583333333","101.0072333333333"
"IMF.STA:CPI(1.0.0)","CHL.CPI._T.IX.A","OBS_VALUE","Chile","Consumer price index (CPI)","All Items","Index","Annual","Units","62.9806825","64.90321583333332","67.10474416666668","70.06258666666665","76.16943","76.43834250000002","77.51666666666668","80.10666666666668","82.51583333333332","83.99250000000002","87.95583333333332","91.78083333333332","95.25583333333336","97.335","99.705","102.255","105.3691666666667","110.1366666666666"
"IMF.STA:CPI(1.0.0)","CHN.CPI._T.IX.A","OBS_VALUE","China, People's Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","66.30675333333335","67.48463583333331","68.59774833333331","71.9019425","76.16231333333332","75.60772583333335","78.00851666666668","82.34103083333335","84.49797416666665","86.71270833333332","88.37901583333336","89.64904333333335","91.44202583333335","92.89882166666668","94.8262775","97.57551333333335","99.93627666666669","100.9166666666667"
"IMF.STA:CPI(1.0.0)","CIV.CPI._T.IX.A","OBS_VALUE","Côte d'Ivoire","Consumer price index (CPI)","All Items","Index","Annual","Units","78.90359940971952","81.96965946138089","83.99200792069","85.58114199658309","90.98005203816155","91.90759783313085","93.03480419274543","97.60507749971391","98.87834666664256","101.4305652556488","101.8856660223135","103.1607646718708","103.9068010985837","104.6194781728826","104.9954900260193","103.8333333333334","106.3512984866666","110.7031424625"
"IMF.STA:CPI(1.0.0)","CMR.CPI._T.IX.A","OBS_VALUE","Cameroon","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","75.70902875262757","77.93464666434966","80.06639054139742","81.7080295220047","83.2236305389848","85.45089072922762","86.19789419841717","86.74991339986941","87.67714688737648","89.82769382307097","92.01734161214178","94.10784460391298"
"IMF.STA:CPI(1.0.0)","COD.CPI._T.IX.A","OBS_VALUE","Congo, Democratic Republic of the","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","","","122.237083333333","123.225031679417","124.756766754782","125.685205358893","129.312293206219","","","","",""
"IMF.STA:CPI(1.0.0)","COG.CPI._T.IX.A","OBS_VALUE","Congo, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","","","71.13973952561226","73.0282480959","76.6495370203844","80.0336169526224","80.34696858038203","81.7607434287552","85.8571101650789","89.83368198601379","90.65309052454215","93.52597577383885","96.50997982737277","96.94433633243595","98.0618902482284","100.2252071889789","102.0246219654312","103.775"
"IMF.STA:CPI(1.0.0)","COL.CPI._T.IX.A","OBS_VALUE","Colombia","Consumer price index (CPI)","All Items","Index","Annual","Units","55.18252166666668","57.96980166666668","60.45869083333335","63.81075333333335","68.27551833333335","71.14480833333332","72.76122","75.24604","77.63081416666665","79.19662166666669","81.49240333333331","85.55873666666665","91.98715833333333","95.9557725","99.06528583333335","102.555375","105.146575","108.8215083333333"
"IMF.STA:CPI(1.0.0)","COM.CPI._T.IX.A","OBS_VALUE","Comoros, Union of the","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","147.579698379945","150.299094888664","159.790098721433","152.927316410847","","","","","","","",""
"IMF.STA:CPI(1.0.0)","CPV.CPI._T.IX.A","OBS_VALUE","Cabo Verde","Consumer price index (CPI)","All Items","Index","Annual","Units","","","79.6121909690063","83.12388235766872","88.7550561229204","89.63471057333481","91.4979156690946","95.59142574936978","98.01982692764942","99.49653762868542","99.25896164180575","99.38917748743614","97.98996037584821","98.75860856958455","99.99999999999999","101.1066667429606","101.7191666920978","103.6133331807454"
"IMF.STA:CPI(1.0.0)","CUW.CPI._T.IX.A","OBS_VALUE","Curaçao, Kingdom of the Netherlands","Consumer price index (CPI)","All Items","Index","Annual","Units","92.5","96.3083333333333","99.3083333333333","102.283333333333","109.316666666667","111.233333333333","114.325","116.991666666667","120.716666666667","122.325","124.158333333333","123.566666666667","123.508333333333","125.466666666667","128.708333333333","132.083333333333","",""
"IMF.STA:CPI(1.0.0)","CRI.CPI._T.IX.A","OBS_VALUE","Costa Rica","Consumer price index (CPI)","All Items","Index","Annual","Units","42.67616666666668","48.56475","54.13541666666668","59.20099999999998","67.14841666666668","72.41466666666668","76.51533333333332","80.24775","83.85525000000003","88.242","92.22983333333335","92.9695","92.95325","94.46458333333335","96.56275","98.58675","99.30141666666665","101.0158333333334"
"IMF.STA:CPI(1.0.0)","CYM.CPI._T.IX.A","OBS_VALUE","Cayman Islands","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","98.6272","98.89955","100.2104","101.40185","103.59275","104.9125","102.44965","101.809075","","","","",""
"IMF.STA:CPI(1.0.0)","CYP.CPI._T.IX.A","OBS_VALUE","Cyprus","Consumer price index (CPI)","All Items","Index","Annual","Units","85.08223693484338","87.2604794578497","89.27156067182489","91.38966399575318","95.65665510183342","95.96876043375381","98.30084050691713","101.534396910883","103.9601085836224","103.544935909533","102.1419135685978","100.0","98.57083333333335","99.095","100.5175","100.7691666666667","100.1258333333333","102.575"
"IMF.STA:CPI(1.0.0)","CZE.CPI._T.IX.A","OBS_VALUE","Czech Republic","Consumer price index (CPI)","All Items","Index","Annual","Units","79.425","80.89999999999998","82.94999999999997","85.31666666666668","90.74166666666667","91.66666666666669","93.01666666666665","94.8","97.91666666666664","99.325","99.66666666666664","99.975","100.6583333333333","103.125","105.3416666666667","108.3416666666667","111.7666666666667","116.0583333333333"
"IMF.STA:CPI(1.0.0)","DEU.CPI._T.IX.A","OBS_VALUE","Germany","Consumer price index (CPI)","All Items","Index","Annual","Units","80.5614575","81.80767166666668","83.09812749999998","85.00800833333335","87.24234166666668","87.5151825","88.48118416666665","90.31732166666669","92.131335","93.51765666666668","94.36566916666668","94.85111083333335","95.31753833333332","96.75635166666665","98.432335","99.85533166666669","100.0","103.0666666666667"
"IMF.STA:CPI(1.0.0)","DJI.CPI._T.IX.A","OBS_VALUE","Djibouti","Consumer price index (CPI)","All Items","Index","Annual","Units","","","","","","","76.7677473309864","80.65888484734847","83.6684368274718","85.93253186062782","87.08563038064298","86.34767568903261","88.71223087727932","89.21621581022931","89.34822980299192","92.31392425077046","93.95471917602605","95.06518668212271"
