"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","LBY.TXG_RPCH.A","OBS_VALUE","Libya","Exports of goods, Volume, Percent change","Annual","Units","59.608","9.104","9.179","3.44","-6.528","-7.437","-0.677","-68.933","217.17","-23.911","-54.813","4.607","3.947","133.213","43.279","-10.063","-69.433","238.101"
"IMF.RES:WEO(4.0.0)","LVA.TXG_RPCH.A","OBS_VALUE","Latvia, Republic of","Exports of goods, Volume, Percent change","Annual","Units","13.752","23.505","7.542","13.86","2.319","-12.874","13.444","12.604","9.498","0.659","6.272","2.974","3.956","6.352","4.405","1.298","0.355","9.045"
"IMF.RES:WEO(4.0.0)","MDG.TXG_RPCH.A","OBS_VALUE","Madagascar, Republic of","Exports of goods, Volume, Percent change","Annual","Units","-16.651","74.847","-9.976","-1.301","26.807","-3.06","-11.41","17.937","3.402","-2.055","6.768","-3.607","-32.889","-3.763","-4.793","6.494","-18.467","38.677"
"IMF.RES:WEO(4.0.0)","MDV.TXG_RPCH.A","OBS_VALUE","Maldives","Exports of goods, Volume, Percent change","Annual","Units","5.191","-20.52","29.534","-6.116","24.218","-42.05","2.372","53.446","-8.045","6.97","-6.105","-3.835","13.251","28.059","-9.17","7.701","-14.471","-20.418"
"IMF.RES:WEO(4.0.0)","MEX.TXG_RPCH.A","OBS_VALUE","Mexico","Exports of goods, Volume, Percent change","Annual","Units","5.901","6.613","9.354","2.064","-2.407","-10.881","25.512","9.777","8.04","2.458","7.209","6.152","1.954","2.842","6.972","1.175","-4.878","5.677"
"IMF.RES:WEO(4.0.0)","MKD.TXG_RPCH.A","OBS_VALUE","North Macedonia, Republic of","Exports of goods, Volume, Percent change","Annual","Units","25.99","29.245","20.131","17.335","-5.992","-21.276","43.236","12.707","1.32","5.993","18.098","9.579","14.424","11.274","14.193","13.086","-10.364","12.078"
"IMF.RES:WEO(4.0.0)","MNG.TXG_RPCH.A","OBS_VALUE","Mongolia","Exports of goods, Volume, Percent change","Annual","Units","6.129","24.252","-4.457","-1.451","21.401","-4.651","23.428","-9.365","5.926","10.115","39.436","-0.734","32.409","0.886","-1.562","6.098","-8.998","-22.457"
"IMF.RES:WEO(4.0.0)","MMR.TXG_RPCH.A","OBS_VALUE","Myanmar","Exports of goods, Volume, Percent change","Annual","Units","-1.736","9.006","30.568","25.192","3.841","10.399","-4.764","4.138","0.256","10.12","13.408","14.653","-14.118","3.75","18.126","-6.785","-3.842","-8.755"
"IMF.RES:WEO(4.0.0)","MNE.TXG_RPCH.A","OBS_VALUE","Montenegro","Exports of goods, Volume, Percent change","Annual","Units","65.794","-4.949","27.146","7.201","-9.07","-28.101","2.124","21.488","-15.079","4.945","-10.178","-8.936","6.694","3.671","11.916","7.338","-11.411","17.327"
"IMF.RES:WEO(4.0.0)","MUS.TXG_RPCH.A","OBS_VALUE","Mauritius","Exports of goods, Volume, Percent change","Annual","Units","-2.633","-1.103","-1.24","-3.966","-0.266","-19.492","7.971","5.048","7.854","8.792","8.967","-6.851","-13.529","-1.512","0.845","-5.062","-16.737","-1.591"
