"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDEX_TYPE.Name","COICOP_1999.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.STA:CPI(1.0.0)","BTN.CPI.CP01.IX.A","OBS_VALUE","Bhutan","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","72.55977655185812","79.87460988871105","82.4903149557674","85.8058235298233","92.20599390711816","96.76305022680248","100.2869437822361","111.6742930298894","121.5723780611314"
"IMF.STA:CPI(1.0.0)","BWA.CPI.CP01.IX.A","OBS_VALUE","Botswana","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","74.8470722930978","79.99509322865555","86.3501799149493","91.0107948969578","93.76594700686948","95.01390251880927","97.57278377494275","100.9322865554466","100.4131910369644","101.8166666666667","105.6166666666667","113.1549333333333"
"IMF.STA:CPI(1.0.0)","CAF.CPI.CP01.IX.A","OBS_VALUE","Central African Republic","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","","","","","","100.8811221084324","106.2929735184224"
"IMF.STA:CPI(1.0.0)","CAN.CPI.CP01.IX.A","OBS_VALUE","Canada","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","103.2416666666667","105.6083333333333","108.0083333333333","110.85","115.2083333333333","121.5166666666667","122.6666666666667","127.8666666666666","130.875","132.3","135.625","141.1916666666666","142.625","141.1833333333333","142.325","147.5583333333333","151.1","154.4166666666666"
"IMF.STA:CPI(1.0.0)","CHE.CPI.CP01.IX.A","OBS_VALUE","Switzerland","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","100.7878083333333","100.0729416666667","100.0307416666667","100.5518916666667","103.6718833333333","103.4793916666666","102.3339666666667","99.0039","98.0347","99.23375833333333","100.1472","99.34755833333332","99.73546666666665","100.14945","101.4133583333334","101.5271333333334","101.6210333333333","100.004275"
"IMF.STA:CPI(1.0.0)","CHL.CPI.CP01.IX.A","OBS_VALUE","Chile","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","46.0455825","47.36834333333335","48.598755","53.244455","62.39041916666668","65.12018083333332","66.54916666666668","71.005","76.41916666666668","79.80583333333333","85.37583333333332","91.45333333333332","94.94583333333333","96.85500000000002","99.8125","102.3766666666666","109.2758333333333","115.1833333333333"
"IMF.STA:CPI(1.0.0)","CHN.CPI.CP01.IX.A","OBS_VALUE","China, People's Republic of","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(1.0.0)","CIV.CPI.CP01.IX.A","OBS_VALUE","Côte d'Ivoire","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","71.54328654691717","73.29774647294136","75.4981286393873","79.5714126984298","88.79935535858198","91.79706813207191","97.11609664683021","107.0387091525347","106.724872400122","108.7888682292667","106.497952264765","108.6659911361808","111.9907869997316","112.3755842062855","111.8363886650552","107.825","112.3390362771676","120.9655108807003"
"IMF.STA:CPI(1.0.0)","CMR.CPI.CP01.IX.A","OBS_VALUE","Cameroon","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","73.47783827981581","75.86970451263792","76.44411654843968","77.99822683183878","78.83896778483212","78.85958870140254","79.82691433188629","82.12477342831565","85.05039815418198","88.66631972351362"
"IMF.STA:CPI(1.0.0)","COD.CPI.CP01.IX.A","OBS_VALUE","Congo, Democratic Republic of the","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Annual","Units","","","","","","","","","118.487708333333","119.343843862838","120.996383823135","122.010376329392","125.70385202519","","","","",""
