"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","BOL.LUR.A","OBS_VALUE","Bolivia","Unemployment rate","Annual","Units","8.427","8.146","7.992","7.668","4.43","4.913","4.375","3.837","3.229","4.0","4.0","4.557","4.686","5.085","4.913","5.012","8.336","6.937"
"IMF.RES:WEO(4.0.0)","BRB.LUR.A","OBS_VALUE","Barbados","Unemployment rate","Annual","Units","9.575","9.075","8.725","7.425","8.125","9.975","10.25","11.15","11.5","11.625","12.275","11.3","9.65","9.95","10.05","10.088","15.724","14.1"
"IMF.RES:WEO(4.0.0)","CHN.LUR.A","OBS_VALUE","China, People's Republic of","Unemployment rate","Annual","Units","","","","","","","","","","","","","","5.0","4.93","5.15","5.617","5.117"
"IMF.RES:WEO(4.0.0)","CPV.LUR.A","OBS_VALUE","Cabo Verde","Unemployment rate","Annual","Units","19.5","21.4","13.5","15.2","13.0","13.0","10.7","12.2","16.8","16.4","15.8","12.4","15.0","12.2","12.2","8.5","8.5","8.5"
"IMF.RES:WEO(4.0.0)","CRI.LUR.A","OBS_VALUE","Costa Rica","Unemployment rate","Annual","Units","6.495","6.63","5.962","4.597","4.948","7.822","9.213","10.492","9.849","8.311","9.658","9.604","9.541","9.293","11.951","12.417","19.98","13.68"
"IMF.RES:WEO(4.0.0)","CYP.LUR.A","OBS_VALUE","Cyprus","Unemployment rate","Annual","Units","4.625","5.3","4.55","3.925","3.65","5.325","6.275","7.85","11.8","15.85","16.075","14.9","12.95","11.05","8.35","7.075","7.575","7.475"
"IMF.RES:WEO(4.0.0)","ECU.LUR.A","OBS_VALUE","Ecuador","Unemployment rate","Annual","Units","7.219","7.095","6.687","6.923","5.95","6.47","5.02","4.21","4.12","4.15","3.8","4.77","5.21","4.62","3.69","3.84","5.346","4.15"
"IMF.RES:WEO(4.0.0)","FRA.LUR.A","OBS_VALUE","France","Unemployment rate","Annual","Units","8.883","8.883","8.858","8.017","7.442","9.117","9.267","9.208","9.767","10.308","10.267","10.342","10.067","9.417","9.025","8.425","8.025","7.875"
"IMF.RES:WEO(4.0.0)","HRV.LUR.A","OBS_VALUE","Croatia, Republic of","Unemployment rate","Annual","Units","17.783","17.583","16.525","14.733","13.033","14.517","17.167","17.367","18.6","19.808","19.275","17.067","14.958","12.433","9.858","7.758","9.0","8.092"
"IMF.RES:WEO(4.0.0)","HND.LUR.A","OBS_VALUE","Honduras","Unemployment rate","Annual","Units","5.99","4.909","3.575","3.211","3.156","3.292","4.119","4.474","3.754","4.096","5.488","6.147","6.727","5.528","5.648","5.386","10.912","8.569"
